"lingua","proverbio","interpretacao"
"Kikongo","Mono nti a nkadi uwutanga mbutu mia nzenzo","Sou uma árvore amarga que, contudo, dá fruta doce."
"Kikongo","Mono papela kanoki mvula, mbundu a muntu kazola dyambi ko","Sou uma folha de papel que não pode ser molhada pela chuva como também o coração do homem não aceita ser contrariado."
"Kikongo","Mo yenda nzamba mo manis'e loa","Onde o elefante passou, o orvalho secou. «Grandes causas produzem grandes efeitos»."
"Kikongo","Mpakasa ka tininwanga mu nsindu ko","Não se foge do búfalo por causa das suas trepidações. Não se deve ter medo da ostentação de um impostor."
"Kikongo","Mpasi za wantu ambote lau die impumbulu","O sofrimento dos bons é a felicidade dos maus. O que causa a infelicidade dos bons, aproveita aos fora-de-lei."
"Kikongo","Mpatu nana ka wutanga ana engi, ntambi zau ku mosi","Embora a pata tenha muitos patinhos, as patas destes são todas idênticas.  Este provérbio traduz a identidade de opiniões com o primeiro porta-voz do grupo pelo que seria supérfluo acrescentar mais factos."
"Kikongo","Mpese vana ntand'a nsusu kalunganga nkanu ko","A barata na assembleia das galinhas não pode ganhar um processo. No conciliábulo dos malfeitores as pessoas de bem são sacrificadas pelos seus juízes."
"Kikongo","Mpil'a vanina ilutidi kima kina kivewanga","A maneira de dar vale mais do que o que se oferece. «Um presente é duas vezes agradáveis quando não é pedido»."
"Kikongo","Mpuku vo 1 nkuk'andi, kalendi wo yambula ko","O rato, habituado a sua pista, não pode abandoná-la.  Este adágio é o mesmo que o provérbio: «o que o berço dá, a tumba o leva»."
"Kikongo","Mpuku ye nioka k'akalanga nwa mosiko","O rato e a serpente não podem estar num mesmo buraco. Duas pessoas inimigas não podem  viver juntas sem se prejudicarem."
"Kikongo","Mpusu (mbumba) vo vaikidi, mpuku zisidi sakana","Quando o gato está fora, os ratos dançam. «Patrão fora, dia santo na loja»."
"Kikongo","Muna moyend'entumbu, imo yenda mpe e simba","Yovo MUNA MUKWENDANGA NTUMBU IMULANDANGA SIMBA. Aonde passa a agulha, segue-a o fio. «Tal pai, tal filho»."
"Kikongo","Muna mukwendanga ntumbu i mulandanga simba","O fio passa por onde passa a agulha. O acessório segue o principal, ou o efeito segue a causa."
"Kikongo","Muna twayend'e kinganga, e lumbu katukelani","A todos nós ligados pelo segredo que nos tornou mestres nas nossas instituições secretas, lembremo-nos a proibição de nos trair um dia!  Este provérbio refere-se aos engajamentos de discrição assumidos por todos que são iniciados em instituições tradicionais, filosóficas ou esotéricas, que dispensam conhecimentos destinados apenas aos que nelas ingressam.  Logo, trair o grupo seria acusar-se a si próprio."
"Kikongo","Mungwa kima kia mbote, kansi kana usaka, madia ma kitukidi nkadi","O sal é um bom ingrediente, mas quando excede a medida torna-se amargo. «Em tudo deve haver medida»."
"Kikongo","Mungwa unteki va nzo, undie makengele","O sal que tu venderes em casa, tu o comerás um tantino. O bem que fazes aos homens da família ou da sua comunidade te beneficiara directa ou indirectamente."
"Kikongo","Mungwa vana ntu a ngani una vevele","Yovo: EZITU VANA NTU NKAKA DIA SAKALALA. Um saco de sal sobre a cabeça alheia parece leve. Qualquer peso sobre os ombros de um outro nos parece leve."
"Kikongo","Muntu ko sumba ko: mfumu nze i ngeye","NKENTO KWA SUMBA KO: NDONA. O homem que não compraste é senhor de si e livre como tu , a mulher que não compraste é dona e livre como tu. A liberdade de cada um deve ser respeitada."
"Kikongo","Muntu ozita kwa ndyona unzeye yovo kun'anzeye","Um homem é respeitado só por aquele que o conhece ou no lugar onde é conhecido."
"Kikongo","Muntu vena kalamikinanga va kalamunwinanga","Onde alguém coloca a sua possessão é ali donde tira o que lhe é necessário. Em caso de necessidade, cada um recorre aonde entesourou. «Corta o teu fato à medida da fazenda» «Estende os pés a medida do cobertor»  (Prov. Judaico) - Rosa Sha)."
"Kikongo","Muntu wayuvula kadya kya nlongo ko","Variente: WAYUVULA KADYA KYA MBIKO. Quem pergunta não come o que é proibido. «Quem pede conselho evita Os erros»."
"Kikongo","Muntu vwidi nkumbi andi madyoko kadila yo, ngeye vo: twenda ku nzo a mama kuna luku","Teu amigo apanhou um roedor (nkumbi) que quer comer com mandioca, e tu insistes de comê-lo com a farinha de mandioca disponível em casa de tua mãe.  «Deixa cada um gozar dos seus direitos», e «dá o seu a seu dono»."
"Kikongo","Mvangi dyambu muntu, nlandi nzamebi","Quem faz um acto é o homem, quem recompensa ou pune é Deus."
"Kikongo","Mvavi a ntumbu ka vavilanga va mosiko","Quem procura uma agulha, não a procura num só lugar. Quem tem necessidade não recorre a um só recurso."
"Kikongo","Mvovo a mfumu ufwananene ye tiya yovo ye maza","LENDA YOKA NSIYE TIYA, YOVO LENDA ZIMINA TIYA YE MAZA YE VUVIKA YO. A palavra do chefe aparenta-se ao fogo e à água.  Com a palavra o chefe pode incendiar todo o país, ou pode apagar todo o fogo e e apaziguar o país e o povo."
"Kikongo","Mvula inokene ikyele","A chuva caiu e terminou. O problema foi posto e resolvido. Esta versão exprime uma satisfação de um assunto concluído."
"Kikongo","Mvula ka itobulanga muntu mavundu ko","A chuva não fura a pele de ninguém. Uma boa chuva tem um duplo efeito: um que faz sofrer e um outro que agrada o coração e fertiliza a terra."
"Kikongo","Mvula kana inoka kya ya kyanga","Uma chuva que começa, deve acabar. Um assunto levantado deve ser concluído."
"Kikongo","Mvula kanda noka ye noka, ka imanisanga ko","Variante: MVUL A KANDA KINOKA-KINOKA YAU KA IKIE. No seio da família, a chuva nunca para de chover.  Os problemas da família nunca acabam de acontecer."
"Kikongo","Mvula longo ka itatikanga ko","A chuva, no dia de casamento, não dói. «Quem ama de verdade aceita, suporta e sofre tudo por este amor que leva às vezes a sacrifícios»."
"Kikongo","Mvula nokena yo vana nzo aku, ka va nzo nganiko","Quando chove, vale mais encontrar-se em sua casa que em casa alheia. «Muito pode o homem em sua casa»."
"Kikongo","Mvula yatina na ngandu: tinini matosi yovo mvula fioti ku seke, kansi ukivubidi mu maza mamemgi mu nkoko, nzadi yovo mbu","Quando chove, o crocodilo foge as gotas de uma chuva para mergulhar na massa das águas de um rio ou de um mar. Isso equiivale dizer: «sair da lama para se afundar num atoleiro» ou «atirar-se para o fogo com vista a evitar o fumo»."
"Kikongo","Mvumbi ka i yibilwanga ko","Não se pode roubar para enterrar um morto. Quando alguém morre, contente-se do que for disponível para o seu. Não se deve perpetrar um crime para realizar uma nobre acção."
"Kikongo","Mvumbi mvul'a tembo: kina kawene kikanatumunanga","A morte é como uma chuvada, ela leva o que encontra. Ninguém é obrigado a fazer o que não pode."
"Kikongo","Mvumbi ofwa kya meso ka fwa kya matu ko","O morto é morto da vista mas não dos ouvidos. Isto é, o morto não vê mas ouve.  Este provérbio é uma indicação da crença da sobrevivência dos mortos e da possibilidade de comunicação com eles."
"Kikongo","Mvumbu mosi walevolwesa nkam'a vumbu","Um escravo faz discreditar cem outros. Este adágio aplica-se quando um delito cometido por um membro da sociedade se repercuta indiscriminadamente sobre toda a sociedade."
"Kikongo","Mvw'e kyandi mbuta, munkunguni a bombo nleke","Quem possui é o mais importante, que aquele que deita o ranho pelo nariz é menos importante."
"Kikongo","Mwana kana kazola ndungu lumvani tadi dy'e ndungu","Se a criança deseja comer piri-piri, dêem-lhe o almofariz de piri-piri para se corrigir. Quem não acata os conselhos, deixam-lhe experimentar o pior para se corrigir, pois a experiência é o melhor mestre."
"Kikongo","Mwana kiwutila, mbongo kisadila kasadilwa ko","É melhor gerar o seu próprio filho que criar um filho alheio, vale mais trabalhar para ganhar o seu dinheiro que gozar da fortuna alheia.  O provérbio significa que o verdadeiro filho se sente mais responsável dos pais que o enteado, que cada qual cuida mais do dinheiro ganho por si que do dinheiro alheio.  Mas filhos há que se mostrem indiferentes e menos responsáveis para com os seus pais enquanto que há filhos alheios, que são manilestamente mais obrigados para com os seus benfeitores."
"Kikongo","Mwan'a muntu kadya, kayaluka, fwangi ibosi di sala tulumuka","O filho do homem come, bebe, e despede-se, só depois que o vendaval pode sobrevir. Este provérbio equivale dizer: «quem cá fica se governe»."
"Kikongo","Mwan'a muntu longela mu yingana, mwan'a nsa min ga","O filho do homem aprende pelos provérbios, o jovem animal pelos talos de ervas.  O género humano educa a sua juventude pela sabedoria institucionalizada no seu seio, e a espécie animal instrui também a sua cria pelas lições da natureza do seu ambiente."
"Kikongo","Mwana ngangu longela mu yingana, mwana zowa tumbulwela","O filho inteligente instrui-se pelos provérbios. O filho ignorante aprende pela verdade crua. «Para bom entendedor meia palavra basta»."
"Kikongo","Mwan'a nsuka wazolakana kwa se ye ngudi","A criança mais nova é a preferida dos pais."
"Kikongo","Mwan'a ntete zulu nkulu, mpangi a se","O filho primogénito é o igual do pai."
"Kikongo","Mwana s ye ngudi","Uma criança deve ter um pai e uma mãe, «Quem planta uma árvore deve regá-la»."
"Kikongo","Mwana una mu vumu kya ngudi, mwan'a se ye ngudi, kansi avo wutukidi, se mwan' a wantu awonso","Quando a criança está ainda na barriga da sua mãe, é criança do pai e da mãe  mas ao nascer, torna-se a criança de toda a gente.  O provérbio mostra que uma criança não pertence unicamente aos seus pais, mas sim à toda a sociedade. «A criação de uma criança é assunto de toda uma aldeia» (Prov. Africano)"
"Kikongo","Mwana uvondanga disu dya s, s kavondanga disu dya mwana ko","MWANA VO VONDELE DISU DYA S KA NKANU A NENE KO, KANSI VO S VONDELE DISU DIE MWANA NKANU A NENE.  É o filho que pode ferir o olho do pai, mas não o contrário. Se o filho ferir o olho do pai, não haverá penalidade, mas se o pai ferir o olho do filho, ele incorrerá uma grande penalidade. O provérbio refere-se à possibilidade de o filho vir a  prejudicar o pai impunemente mas o pai não pode prejudicar o filho sem incorrer uma penalidade por ser mais responsável que o filho."
"Kikongo","Mwana uwutwangwa mbundu a mwana ke iwutwangwa ko","Gera-se uma criança mas não se gera o seu coração. Os pais não podem responder pelas acções dos seus filhos."
"Kikongo","Mwana vo fwididi mu nkata ngudi andi, dilu kie ndwelo","Se a criança morre no colo da sua mãe, os choros são brandos. Quando um prato se parte nas mãos da dona da casa, não há berros."
"Kikongo","Mwana wabwak'e nsuki, tumbu kwa se ye ngudi yovo kw'ambuta","Uma criança com o cabelo ruivo é uma reprovação para os pais. «O dono do cão é responsável dos seus actos e das suas consequências»."
"Kikongo","Mwan'a yakala kakangwanga va funda ko","Um homem não pode ser embrulhado num pacote. Um homem inteligente não pode ser levado pelo beiço. «A boa semente, mesmo se cair no mar, tornar-se-á uma ilha» (prov. Malaio — R. Sha)."
"Kikongo","Mwana yakala ka lekanga ntambu mosiko","Um homem não deve armar uma só armadilha. «Um homem não deve depender de um único recurso mais de vários outros meios»."
"Kikongo","Mwan'a yakala nyoka ndá, kasiwangwa va meokolo ko","Um homem é uma serpente comprida que não pode ser enrolada num bolso."
"Kikongo","Mwan'a yakala ye se dyandi mwan'a nkento ye ngudi andi","O filho segue o seu pai e a filha a sua mãe. Tal pai tal filho, tal mãe tal filha."
"Kikongo","Mwan'o zolakana nkumbu za ingi (ze zingi) kena zau","A criança bem-amada tem vários nomes. Os diferentes nomes, apelidos, cognomes, alcunhas, que identificam as crianças ou indivíduos amados, não são apenas rótulos que os distinguem uns dos outros, mas sim , são nomes carregados de significações exprimando anseios que os progenitores quiseram ver concretizados na vida da progenitura. Por exemplo: Emanuel = Deus connosco, Kunzika = aquele que me sustentará e me enterrará."
"Kikongo","Mwele ndungu ye mungwa, yani mbala udya mo","Í UTONDA MO. A comida está bem condimentada com sal e pimenta, cabe a quem é destinada de apreciá-la. «Uma questão de gosto deve ser deixada à discrição de cada interessado»."
"Kikongo","Mwivi unkangi ye sangu dyandi","O ladrão deve ser apanhado com a sua espiga de milho em mãos. Um ladrão deve ser apanhado com a boca na botija, isto é, em flagrante delito,  pois ninguém pode ser acusado sem prova."
"Kikongo","Nakongo oyelese i wandi ye lungisa o nganl mbimba mutoma","O rei do Kongo condenara o seu irmão e absolvera o seu próprio inimigo pela justeza da causa. Um chefe é reconhecido e honrado pelas suas qualidades de juiz imparcial.  «O príncipe não deve seguir as razões dos grandes, senão as grandes razões» (Pe. António Vieira). Vieira)."
"Kikongo","Nani intantu aku? ntantu aku mwisi nzo","Quem é o teu inimigo? Teu inimigo é uma pessoa da sua família. «O teu inimigo é o oficial do teu ofício»."
"Kikongo","Na n'langi olangidi nsek'atungila, kansek'azyamina ko","Um imigrante escolheu um lugar para construir e não para ser enterrado. Um homem pode escolher um lugar para sua residência, mas não pode escolher onde vai ser enterrado."
"Kikongo","Nda kufwidi mwan'a nwayakanl kwendi kufwidi nzayakaniko","Vai ao funeral do filho de um grande homem, mas não vai ao dele próprio. No funeral do seu filho, ele próprio sabe a importância das pessoas que recebe, ao contrário do filho  que faria pouco caso dos conhecidos do seu pai por ele desconhecidos."
"Kikongo","Nda kumona, kwendi kuwa ko","Ver vale mais do que ouvir. «Os olhos confiam em si próprios, os ouvidos confiam nos outros»."
"Kikongo","Nda kuzolele mwan'a nkento, kwendi kuzolele se ye ngudi ko","Vai aonde está o coração da mulher e não aonde a destinam os seus pais. «Onde há casamento sem amor, haverá amor sem casamento» (B. Franklin)."
"Kikongo","Ndinga s, nding'a à nkosi","A voz do pai é a voz do leão. A voz do chefe de família tranquiliza a família, pois é a encarnação da autoridade."
"Kikongo","Ndoki vo kavonda muntu, vata diyitalele ye kyadi, mwangi a nsangu kana kamwanga nsangu, vata divambanene","Se um sorceiro matar alguém, a aldeia recolhe-se em tristeza, mas se um detracto espalhar uma má nova, a aldeia dispersa-se.  Este provérbio mostra que a maledicência é mais desagregadora do que a feitiçaria que actua ocultamente."
"Kikongo","Ndundu kana unkatula nsuki unkatwelve bula","Se rapares o cabelo do um albino, tu lhe tiras a sua dignidade. «Uma cabeça sem cabelo é horrível» (Ovídio)."
"Kikongo","Ndungu ze kanda kana zidya mfumu a kanda zilungidi","Se uma comida preparada e oferta em nome da família for tomada pelo chefe da família, é considerada como tomada por todos os membros da dita família.  Um compromisso assumido pelo chefe da família engaja implicitamente todos os membros da família."
"Kikongo","Ndya mya nzima vamakala, kana yokola myo mi fwete natumuna makala (yovo: «ndya mya nzima va makala, kana yokola myo ka mikonda natumunangana makala ko»)","Os intestinos da civita (ou gato-de-algália) no fogo não saem da fogueira sem arrastar umas brasas. «Há causas que não faltam de deixar rastos de seus efeitos»."
"Kikongo","Ndya mya nzima nkadi midilwanga","Come-se os intestinos da civeta por serem amargos. Este provérbio indica que os alimentos amargos dão mais saúde do que as doces. «A única maneira de conservar a saúde é comer o que não queremos,  beber o que não nos agrada e fazer o que se prefereria não fazer» (Mark Twain)."
"Kikongo","N'dy'e ngwidi ka simbwanga valaka ko","Quem faz uma promessa não pode ser ameaçado de estrangulamento. «Não se deve fazer mal a quem consente»."
"Kikongo","Ndyona (oy0) kavenge dyambu ro kalendi mona wonga ko","Quem não fez não, não pode temer nada. «Quem não deve não teme»."
"Kikongo","Ndyoyo udyanga yandi ikuzenga ndya","Aquele que come contigo é que vai te rasgar os intestinos. «O que mete comigo a mão no prato, esse me há-de trair» (Mat.26:23)."
"Kikongo","Nganguila fula kina zina","O ferreiro deve criar um objecto que tenha um nome. O nome é o que determina o valor, a identificação e a utilidade de um objecto material ou o símbolo de uma realidade visível que tem um significado."
"Kikongo","Ngangu mu ntulu ntulu","A inteligência encontra-se em cada coração. Este provérbio é utilizado pelos que reconhecem humildemente que ninguém tem o monopólio da sabedoria, e que a  contribuição dos outros, dotados também da mesma faculdade de inteligência, é necessária para a solução dos problemas que a comunidade enfrenta. «Os talentos são comuns  cada um os tem, mas rara é a coragem de seguirmos os nossos talentos aonde eles nos  levam» (anónimo)."
"Kikongo","Ngangu zazingi kizoba zikitulanga","Excesso de inteligência torna maluco. «O génio é vizinho da loucura»."
"Kikongo","Ngangu zazingi wangila tyamuka, ngolo zazingi kitolula","Excesso de inteligência estraga o gergelim, excesso de força quebra.  Uma vigilância excessiva é prejudicial. «Em nada a demasia, pois tudo o que excede a medida é prejudicial»."
"Kikongo","Ngeye na ntu kamba na maitu, na matu ukiwididi","Tu, cabeça, avisa as orelhas do acontecido! Sim, mas, estando presentes, as orelhas já ouviram a mensagem por si próprias.  Dito quando se acha supérfluo de levar uma mensagem a pessoas já presentes no lugar do evento."
"Kikongo","«ngina ye teva dyame», ovwa va uyadila dyo","«Tenho a minha esteira». O importante é ter onde estendê-la. O provérbio refere-se às pessoas que têm bens mas carecem de lugar onde utilizá-los."
"Kikongo","Ngola yani maza kavwidi mak alambilwangwa","O bagre é cozida com a sua própria água. Dito do mal que se faz a alguém com os meios da própria vítima. «A águia é caçada com a seta feita das suas penas» (Prov. Turco — Rosa Sha)."
"Kikongo","Ngoma kana se izenza se itobuka","Quando o batuque torna-se ardente, está quase a rebentar. Quando uma festa atinge um grau elevado de alegria, e uma indicação de que a situação vai explodir. Sair a tempo seria o melhor a fazer!"
"Kikongo","Ngoma vana itubukilanga va iyandilwanga","Onde rebenta o batuque, é ai onde deve ser consertado. O provérbio significa que um conflito deve ser resolvido onde aconteceu."
"Kikongo","Nguba zakangwa vana zo ko muntu nkaka ibosi zimena","Dá as amêndoas torradas,a uma outra pessoa para que possam germinar. Este provérbio refere-se a um acto de caridade . As amêndoas torradas não podem germinar em terra, mas se as der a um esfomeado para os comer, far-lhe-ás um bem do qual o beneficiário te será reconhecido e cuja retribuição poderá ser maior do que as amêndoas torradas  oferecidas."
"Kikongo","Nguba zewimi vamfokolo yovo: wimi wa nguba vamfokolo","O amendoins que não podem ser oferecidos devem ser guardadosno bolso. Não se deve expor aquilo que não se queria oferecer a outrem."
"Kikongo","Ngudi owutidi nwole osokele tondo yovo: ngudi owutidi a ole ovambula nzola","A mãe que gerou duas crianças é quem semeou a zizânia entre os seus filhos."
"Kikongo","Ngulu vata ye ngulu futa yawu amosi kwawu","O porco doméstico e o porco selvagem são todos iguais. «Os semelhantes defendem-se». «Cada qua! com seu igual, cada ovelha com sua parelha»."
"Kikongo","Ngulu kadilwangwa mukuma kya mazi ko  malafu (malavu) kamanwinwangwa mu nsunga ko","Não se come o porco por causa da sua gordura, não se bebe o vinho de palmeira pelo seu aroma.  Nem tudo o que é bonito e agradável de ver é conveniente ou permitido para satisfazer os desejos de todos.  Para amolecer o coração perantes certas inclinações inconvenientes, ou indecorosas, é preciso disciplinar toda imaginação exaltante ou bombástica, e discernir o que é bonito e permitido para alguns e o que é inconveniente e prejudiciavel para outros."
"Kikongo","Ngulu kikumfutisanga ngulu yandi","O que faz devalorizar o porco é um outro porco. Os nossos próximos nos fazem muitas vezes mais mal do que outros. «Nunca se é traído senão pelos seus» (H. V. Roy)"
"Kikongo","Ngulu lenda yituka nkembi muluketo, vo mbwa wavila yo","O porco pode estranhar uma sineta de caça no seu flanco, ao passo que o cão é habituado a isso.  Este provérbio mostra que o hábito possibilita uma pessoa de acomodar-se, com naturalidade, a uma situação que, a princípio, parece uma montanha mais alta e impossível de subir por quem não está acostumado a enfrentar tal situação.  Assim, para alguns, o hábito é «uma prática que faz o mestre», ao passo que para os outros, habituar-se a uma situação não habitual e difícil é uma tirania."
"Kikongo","Ngulu nyetamene mwan' andi","O porco esmagou a sua própria cria. Diz-se de uma pessoa autora da morte de um membro da sua própria família ou da destruição de um bem próprio."
"Kikongo","Ngulu vo inkuk'andi, kalendi woyambula ko","O porco habituado ao seu trilho não pode abandoná-lo. «O que o berço deu, a tumba o leva»."
"Kikongo","Ngumba kasumbilwangwa mulamba ko","Não se compra uma perdiz no bolso. Não deves concluir um negócio sem saber antes de que se trata."
"Kikongo","Ngumba owuta kabasulanga ntambu yandi mosiko","Uma perdiz que tem os seus perdigotos não pode desfazer ela própria uma armadilha.  Dito dos pais que têm filhos e que não deveriam lutar sozinhos para sobreviverem. «Quem tem a sua colher não pode se queimar os dedos»."
"Kikongo","Niki a mwamba ketalwangwa munwa ko","Quem moe os amendoins não deve ser controlado pelo pouco que entra na sua boca. «Quem azeite mede, as mãos unta»."
"Kikongo","N'kaka kakele, nkutu kakutula","N'kaka — o esquilo — atou ou informou, agora é a vez do rato nkutu de desatar ou de impugnar.  Este provérbio aplica-se aos procedimento de ouvir dois contendores: depois de o acusador ter exposto a sua causa, permite-se ao acusado de impugnar os argumentos da outra parte."
"Kikongo","Nkaka ye ngandu: ngandu kamini nkaka, nkaka kamini ngandu","Luta cruenta entre o pangolin e o crocodilo: o crocodilo não pode engolir o pangolim, por ser escamado  também, por sua vez, o pangolim não pode engolir o crocodilo, por ser  mais grosso do que ele. Diz-se de uma luta renhida entre dois gigantes cuja vitória de um sobre o outro é indecisa."
"Kikongo","Nkalu a mbote kana iwudika, lubaka tenge lolosa","Quando um belo vaso é partido, deita-se os cacos. Quando um homem morre, deve-se enterrá-lo. O lugar dos restos de coisas inúteis é o licheiro  o destino dos restos mortais é o cemitério."
"Kikongo","Nkama lumbu, lumbu kimosi kyenlenda","Cem dias acabam sempre por um dia. Tudo que tem um tempo definido sempre tem um fim."
"Kikongo","Nkama mumbanza, makumatanu ma zola, makumatanu ma menga","Numa aldeia de cem habitantes, se cinquenta te amam, os outros cinquenta te odeiam. Na vida, ninguém pode ser amado por todos: uns são amigos, outros inimigos."
"Kikongo","Nkama ntanbu: umosi vo ka ubaka ko, o nkaka baka ubaka","Homem de cem armadilhas: se uma não apanhar, uma outra vai apanhar. Dito de alguém que tem muitos recursos  se não se valer dum, valer-se-á de um outro. É melhor «ganhar ou comer a dois carrilhos, ou servir-se de vários meios». Duas seguranças valem mais do que uma."
"Kikongo","N'kamba ovitumuna mingele","(Variante): NKAMBA - NTI A NENE WAVITUMUNA NTI MYA FYOTI. A queda de um carvalho arrasta sempre os arbustos com ele. A infelicidade de um grande homem arrasta a dos pequenos homens. «Um grande homem nunca cai ou morre sozinho»."
"Kikongo","Nkanda kaumanisanga mambu ko - vova ye wizana kumanisanga mambu","Uma carta não esgota um problema  somente conversando os homens entendem-se bem. A conversação é uma virtude de aproximar os homens e, muitas as vezes, de os fazer chegar a  um acordo com um proveito mútuo."
"Kikongo","Nkandu kazilangidilanga vya ko, wonga ulangidila dyo","O feitiço não guarda a lavra, é o medo que a guarda.  Num campo de plantação, o medo é a principal causa inibidora da acção da pessoa possuída por ele. A protecção dos produtos do campo é portanto assegurada pelo medo e não pelo guarda do campo ou pelo seu feiticho."
"Kikongo","Nkanu kaulunganga wantu ole ko","Um processo nunca é ganho por duas pessoas: há sempre um que 0 ganha e um outro que o perde.  Este provérbio é um conselho de ponderação para que quem ganhar um processo não se vanglorie demasiado, pelo quem ganha não é totalmente isento de culpa, e quem perde não é totalmente isento de razão, pois que a justiça humana é relativa e não perfeita."
"Kikongo","Nkasa muvya, e moko ibosi kimanisa","Só quando a feijoada estiver cozida é que a conversa acabará. É uma inflexível determinação de acabar uma discussão só quando o problema for resolvido."
"Kikongo","Nkasa za ndamba vo kazizingalarene ko, kazi lendi wuta ko","Se os feijoeiros rastejantes não se enlaçarem entre si não podem produzir. Este provérbio é usado para tolerar e autorizar um casamento endógamo quando não se pode mais impedi-lo.  É uma excepção que confirma a regra."
"Kikongo","Nkembi iyituranga mbwa mulaka, vo muluketo wavila yo (kayituka yo ko)","O cão estranha uma sineta de caça se lhe for colocada no seu pescoço, mas colocada no seu flanco, nada lhe é mais natural do que isto, pois ele é já habituado ao mesmo.  Diz-se de um dever ou obligação moral, que um indivíduo é habituado a cumprir normalmente e que nunca o assusta enquato não mudar de carácter de execução."
"Kikongo","Nkengi a masango ulekanga, nkengi a kanda kalekanga ko","Quem guarda o campo do milho dorme, mas quem guarda a família humana não tosqueneja.  Este provérbio mostra quão grande é a responsabillidade de cuidar de uma família humana, mais grande que a de cuidar de um campo de milho."
"Kikongo","Nkento a mbote wasangi ye matebo (matombwele)","Uma mulher bonita é comum com os diabos. A beleza feminina é traidora e suscita ciúmes justificados ou injustificados."
"Kikongo","Nkento nsongo, mbongo kokoto","É preciso ciúme para a mulher, economia para o dinheiro."
"Kikongo","Nkento nsongo, mbongo (nzimbu) kokoto","É preciso ciúme para a mulher, economia para o dinheiro. «Não há amor sem ciúme e ninguém pode nem sabe amar sem ser cioso» (Cavaleiro de Oliveira)."
"Kikongo","Nkil a nzangi ukufi, nkiva kanda ula","A cauda do cercopiteco é mais curta do que a do clã. A cauda do simiesco, embora mais comprida do que a dos outros animais, é visível em toda a sua extensão,  ao passo que a cauda do clã simboliza toda a sua linhagem perdida no tempo e no espaço, pelo que se torna difícil ou impossível que os seus membros se reconheçam nela, embora que a sua origem comum continue real."
"Kikongo","Nkindu a zandu, konso wantu ye fula dyawu","Numa batalha do mercado, cada qual foge pelo caminho da sua aldeia. Num «salve quem puder «originado de uma situação de pânico geral,  cada pessoa foge em direcção à sua proveniência."
"Kikongo","Nkisi wa nene mfumu andi wadyanga (wavondanga)","Um grande feitiço pode matar o seu dono. O artista é maior que a arte. Mas se ele não controla a sua arte, esta torna-se mais poderosa do que o artista e pode voltar-se  contra ele e engoli-lo. É o conhecido caso do feitiço contra o feiticeiro. De toda ciência mal domesticada resulta a morte do cientista ou o caos da sua obra."
"Kikongo","Nkoko nkete ukumba matadi","É o pedregal que faz estrondear o rio. Este provérbio mostra que a popularidade de um chefe depende dos seus súbditos ou membros.  «Se o soberano reina é graças ao seu povo, como o rio canta graças às suas pedras» (Prov. Japonês — R. Sha)."
"Kikongo","Nkoko vo uvutukanga kuntandu muntu nga sompele mpangi andi","Se o rio voltasse para a nascente, os homens casar-se-iam com as suas irmãs. Isso é um reconhecimento do que é naturalmente impossível de ser mudado.  «O que tu não podes mudar, tu deves aturá-lo e «fazer das tripas coração»."
"Kikongo","Nkoko yandi mosi katambula di katek amena (nkoko watambula yandi mosi di katekomokina)","O rio, por ter andado sozinho, tornou-se tortuoso, criando meandros ao longo do seu percurso.  Esta metáfora confirma a máxima segundo a qual «duas opiniões valem mais do que uma»."
"Kikongo","Nkombo a mbakala kasaukanga nkoko ko, nangu kabulangani ye nkitiko","O bode nunca atravessa um rio, mas se for comprado por um traficante, a impossibilidade torna-se possibilidade.  «A necessidade é um segundo cativeiro» (Prov. Persa — Rosa Sha)."
"Kikongo","Nkombo ame wutidi ngulu, lau mutwela","A minha cabra deu à luz um porquinho, a sorte está na boa criação. «Uma sorte única que aconteça apenas uma vez quando um bem gera um bem maior»"
"Kikongo","Nkombo a ole ye lekisa umosi nzala","A cabra que tem dois donos faz passar fome ao outro. «A vasilha que pertence a dois sócios não está fria nem quente» (Prov. Judaico — Rosa Sha)."
"Kikongo","Nkombo a sangi nsinga mi myole","A cabra de dois donos tem duas cordas. «Um bem que pertence a dois sócios é de ninguém»."
"Kikongo","Nkombo kumeka zivwilanga","Os cabritos morrem muito por tanto balir. Uma causa nefasta pelos seus efeitos repetitivos, se não for determinada e eliminada, pode originar uma desgraça maior. «Pequena negligência origina um mal maior» (Lespy)."
"Kikongo","Nkombo uvendang'e lowa, i ulwakanga kunkoko","A cabra que lambe o orvalho acabará por chegar ao rio. Todas as façanhas começam pela prática de pequenos actos."
"Kikongo","Nkomi vo kaivutikidi nima ko kaikola ko","Se o punho não recuar, não pode desferir um forte golpe. «Recuar para melhor saltar»."
"Kikongo","Nkomi nkweno kana ibala, kuyiki ko vo tadi","Se a punhada do teu adversário for pungente, não diga que é uma pedra.  Reconheçer a sua fraqueza e a força de outrem é uma virtude."
"Kikongo","Nkondoloka kadynga mwendo","Um desvio do caminho não impede a continuação da marcha. Um caminho tortuoso mas seguro é melhor do que um caminho recto mas perigoso ou cheio de obstáculos. «Siga a pista, mesmo sinuosa, se for ela que leva ao destino»."
"Kikongo","Nkumbi kaidilwangwa mu mfitakani ko","(NKUMBI MULUVILA IDILNANGWA KAMUFITAKANAK WA MYELO MYA NZO KO YOVO KAMUTUNGILA VA MOSI KO). Não se come o castor por aproximação física, mas por afinidades familiares.  Há bens ou interesses que não se partilham com vizinhos mas com membros do clã ou com base na amizade."
