rasto?,Portuguese
"cuse»,",Portuguese
self».,Portuguese
"KOKO KANA KUBAKA, NWA KA DYANGA KYA FYOTIKO.",Portuguese
abundância».,Portuguese
122,Portuguese
"KOKO KANA KUZINGILA MU KINZU (NZUNGU), VISI KU TOMBOLANGA.",Portuguese
KOKO KUKE KUBAKIDI KIMPITI.,Portuguese
O provérbio refere-se ao desprezo dos grandes homens para com os humildes,Portuguese
Daí: «os homens não se medem aos palmos»,Portuguese
KOKO KUTOMENANGA KWATOLOKILA VANA KWAYIKANENA.,Portuguese
123,Portuguese
cate its solution.,Portuguese
"KOKO KUVANANGA, YOYA KUYOYANGA; KOKO KUTAMBULANGA KA",Portuguese
KUYOYANGA KO.,Portuguese
"«Dar é um bom rapaz, mas cansa-se depressa» (Prov. Escocês).",Portuguese
"KONDA KWA NGUDI, YEMA MAYENO MA NKAKI.",Portuguese
"«Quem não tem como quer, deve querer como pode» (Terence).",Portuguese
"KONGO DYA MPAKA KA DYA TOMA KO,",Portuguese
O Congo em conflito é uma desgraça.,Portuguese
"Um pais em conflito traz guerra, destruição, calamidade e morte.",Portuguese
124,Portuguese
KONSO DYAMBU DYA MPA WONGA DIMWESANGA.,Portuguese
"KONSO DYAMBU DINANGANGA, KADISOBANGA KO, YOYESA",Portuguese
DIYOYESANGA.,Portuguese
"pero, desunião ou morte.",Portuguese
"«Tudo passa, tudo cansa, tudo quebra».",Portuguese
"«Tout passe, tout lasse, tout casse».",Portuguese
"«Everything passes, everything wearies, everything breaks».",Portuguese
KONSO DYAMBU MUNTU UYANTIKANGA DYO.,Portuguese
Qualquer assunto é iniciado por um homem.,Portuguese
Árabe - R. Sha).,Portuguese
humaine.,Portuguese
mieux» (Prov. Arabe — R. Sha).,Portuguese
bic proverb — R. Sha).,Portuguese
125,Portuguese
"KONSO DYAMBU, YANTIKA KUBALANGA.",Portuguese
passo» (Prov.Chinês).,Portuguese
(Prov. chinois). .,Portuguese
KONSO DYAMBU YE NTANGU ANDL KONSO NTANGU YE DYAMBU DYANDI.,Portuguese
"Cada coisa tem o seu próprio tempo, e cada tempo tem uma coisa própria.",Portuguese
tempo para cada coisa.,Portuguese
"«Tudo tem o seu tempo determinado, e há tempo para todo o propósito debaixo",Portuguese
do céu» (Ecclesiastes 3:1).,Portuguese
(Eca. 3:1).,Portuguese
thing.,Portuguese
(Eccl. 3:1).,Portuguese
KONSO KIMA YE FULU KYANDL KONSO FULU YE KIMA KYANDI.,Portuguese
"Cada coisa no seu lugar, e cada lugar para cada coisa.",Portuguese
respected because disorder kills.,Portuguese
126,Portuguese
"KONS'OMA MABWA, MABWA KWANDI, AMBUTA ATALA MO yovo",Portuguese
ALANDA MO.,Portuguese
utilizaria.,Portuguese
arriver,Portuguese
KONSO MBI FUTWA IFUTWANGWA.,Portuguese
Todo o mal se paga aqui na terra.,Portuguese
Toute faute se paie ici-bas.,Portuguese
KONSO MUNTU MFUMU KAYIKILWANGWA.,Portuguese
KONSO MUNTU MEUMU MUNA NZO ANDI.,Portuguese
Cada um é mestre em sua casa.,Portuguese
«Muito pode o homem em sua casa.»,Portuguese
127,Portuguese
KONSO MUNTU NKAZ'ANDI WA MBOTE.,Portuguese
gostos não se discutem».,Portuguese
KONSO MUNTU N'KUSU YE LUSENDE LWANDI.,Portuguese
KONSO MUNTU NSI ANDI YA MBOTE.,Portuguese
M.Maurois — Larousse).,Portuguese
Peul - citado por M. Maurois - Larousse).,Portuguese
— Larousse).,Portuguese
128,Portuguese
M.Maurois — Larousse).,Portuguese
«Every bird finds its nest good».,Portuguese
KONS'ONA LEKELE KABASULA.,Portuguese
«Quem convida dá o banquete».,Portuguese
"KONSO NTI YE NSUNGI ANDI, YE MBUTU ANDI.",Portuguese
129,Portuguese
KONSO NUNI ZALA DYANDI DYA MBOTE.,Portuguese
Cada ave acha o seu ninho bonito.,Portuguese
Cada qual sua casa é bonita.,Portuguese
«Muito pode o homem em sua casa».,Portuguese
Chaque homme trouve sa maison belle.,Portuguese
Every bird finds its nest good.,Portuguese
"KONSO SALU KIFWENE SALWA, TOMA KYO SALA, FULU KYAKU",Portuguese
KYESESA.,Portuguese
ras e iluminas neste mundo onde o passado não se repara nem se apaga.,Portuguese
Simpson).,Portuguese
wipe them out.,Portuguese
"KOSI VILU, MAMBU VILU.",Portuguese
"«Costas viradas, linguagem mudada» (Prov. Malaio — R.Sha).",Portuguese
"«Patrão fora, dia santo na loja».",Portuguese
"KO YE KO WANDLI, NZADI YE NZADI ANDI.",Portuguese
"O sogro simpatiza com o seu genro, o cunhado com o seu cunhado.",Portuguese
cidade.,Portuguese
malheurs.,Portuguese
130,Portuguese
KUBAKIDI NYOKA VA KATI KO.,Portuguese
Não apanhes uma serpente no meio.,Portuguese
"KUBANZA KAVITANGA KO, SUKININA KAKA",Portuguese
(«VO NZAYA WO»: KU NIMA KAKA KAKWIZILANGA).,Portuguese
"O arrependimento não precede o erro, segue-o, ou «Se eu soubesse» chega",Portuguese
sempre tarde. .,Portuguese
"«Um pouco tarde: é certo — o corvo prometeu, Confuso e envergonhado: «Noutra",Portuguese
não caio eu!».,Portuguese
cumprida.,Portuguese
«O arrependimento nunca chega cedo».,Portuguese
savais» arrive toujours trop tard.,Portuguese
done.,Portuguese
131,Portuguese
KU DY'E NDOFI KO VO: «NKOKO WAU KILENDI WO NWINA,Portuguese
MAZA KO».,Portuguese
guarda».,Portuguese
citado por M.Maurois — Larousse).,Portuguese
KU FUTUMUKANGA MWISI NZO INA KO.,Portuguese
"Onde tem havido fumo, há uma casa.",Portuguese
Não há efeito sem causa.,Portuguese
"KU FWIDI MVIPI, MBEVO SIDI.",Portuguese
"Morreu um homem são, ficou o doente,",Portuguese
"tes do futuro, são surpreendidas por moléstias mortais.",Portuguese
R. Sha).,Portuguese
Sha).,Portuguese
treated sickness.,Portuguese
532,Portuguese
"KUKAYI KO YE KONZEKENA, NGEYE MPE AKUVANGILA WO.",Portuguese
"Não deves dar e recusar ao mesmo tempo, pois tarde ou cedo tu poderás ser",Portuguese
pago na mesma moeda.,Portuguese
dão por uma outra.,Portuguese
«Dar e reter não vale» (Antoine Loisel).,Portuguese
"KU KISUTIDI FWA KO, MUNTU KAFWANGA MEWA ZOLE KO.",Portuguese
"KU KOMUNI KYUZU KIZOLELE VAIKA KO, KADI SAMA VO DIBENZELE,",Portuguese
"VO MUNTU SIDI NSINDU YOVO DYETE DYO, EKYUZU KIZOLELE VAIKA,",Portuguese
KIKOMOKENE YE KAKIVAIKA DYAKA KO.,Portuguese
423).,Portuguese
133,Portuguese
unto truth» (Isaiah 42:3).,Portuguese
KU KUNI NGUBA VA MESO MA NKEWA KO.,Portuguese
Não semeia amendoins sob o olhar dos macacos.,Portuguese
"KU KWENDA YANDIKO, KU MMANI NKUTA KO.",Portuguese
quanto cedo melhor.,Portuguese
134,Portuguese
"KU KWENDA YE NUNU KO, AVO IZEYE NZIV'ANDI?",Portuguese
KU LANDI BULU MU WULU DYANDIKO.,Portuguese
Daí: «não te metas na boca do lopo».,Portuguese
victime.,Portuguese
KULANDI MUNTU FWIDI YOVO WAFWA MAMBU KO KALENDI,Portuguese
"VANGULULA DYAKA KO, NGEYE LENDA VANGULULA.",Portuguese
"Não critiques um morto, pois ele já não pode reparar o seu passado, mas tu",Portuguese
«Dos mortos só devemos falar bem».,Portuguese
135,Portuguese
KUMBU DYA NDOKI LUMBU KIMOSI.,Portuguese
«No wonder lasts more than three days».,Portuguese
"KU MENI NZEVO ZE MENA NKOMBO KO, WA KONDA NDWENGA.",Portuguese
sabedoria.,Portuguese
KUNA KWAVATILA KO KULENDI KO NATINA N'YENDO KO.,Portuguese
Não se deve aproveitar do fruto dos esforços alheios.,Portuguese
n'avez pas semé.,Portuguese
KUNA KWA YENDA KO ZULU DYABWA.,Portuguese
ocultas é suave» (Provérbios 9:17).,Portuguese
136,Portuguese
"Things unknown look like mirages,",Portuguese
(Proverbs 9:17).,Portuguese
"KUNA KUYENGANGA NZUNDU, TADI ULALANGA KO.",Portuguese
gastante e acarreta sacrifícios.,Portuguese
KUNA KWATUNGILA MUNTU AKU KA KUKALANGA KWA NDÁ KO.,Portuguese
Onde reside o teu parente nunca está longe para lá chegar.,Portuguese
"«Longe é lá onde não há nada; mas onde há uma coisa, tu removerás céu e terra",Portuguese
para lá chegar» (Provérbio Shona - Zimbabwe).,Portuguese
KUNA MFULU KINDOKI KOKALA WAKU.,Portuguese
«Os semelhantes defendem-se».,Portuguese
137,Portuguese
Este provérbio faz lembrar um momento histórico durante o qual o gozo dos bens,Portuguese
presente e o futuro.,Portuguese
bom tempo» (Nicolas Machiavel).,Portuguese
"«O remorso chega muito tarde, quando não pode remediar ao mal» (E. J. Desbillons).",Portuguese
sagesse.,Portuguese
(Nicolas Maquiavel). .,Portuguese
future.,Portuguese
(Nicolas Maquiavel).,Portuguese
past» (F. J. Desbillons).,Portuguese
NTANGU KO.,Portuguese
feito antes da hora é um desperdício do tempo.»,Portuguese
Maurois — Larousse).,Portuguese
Maurois — Larousse).,Portuguese
Larousse):,Portuguese
138,Portuguese
NKUKUTU-NKUKUTU KO.,Portuguese
uma mastigação ruidosa.,Portuguese
«O bom silêncio chama-se santidade» (provérbio português — citado por M. Mau-,Portuguese
rois — Larousse).,Portuguese
Larousse).,Portuguese
noisy crunch.,Portuguese
Larousse).,Portuguese
Não se deixa baixar um doente em casa do feiticeiro.,Portuguese
ocasião faz o ladrão».,Portuguese
Não arma contra alguém uma tentação âqual não pode resistir:,Portuguese
"«Porta aberta, o santo fica tentado» (Prov. espanhol - citado por M. Maurois —",Portuguese
Larousse).,Portuguese
se).,Portuguese
rois - Larousse).,Portuguese
139,Portuguese
"«Porta aberta, o santo fica tentado» (provérbion espanhol — citado por M. Mau-",Portuguese
rois - Larousse).,Portuguese
Larousse).,Portuguese
rois — Larousse).,Portuguese
KUSADISI VAIKISA NGOMBE UNA MU WULU KO.,Portuguese
"1,418 - M. Maurois — Larousse).",Portuguese
«Aquece uma serpente no seu seio e ela te morderá» (Esopo).,Portuguese
"tanto, «não gastes cera com ruins defuntos».",Portuguese
bienfaiteurs.,Portuguese
KUSIKAMESI (MBWA) LELE KO.,Portuguese
Não despertas o gato adormecido.,Portuguese
Não provoques problemas onde eles não existem.,Portuguese
140,Portuguese
KUTAWELELA MATE MU LONGA UTADILA (UDILANGA),Portuguese
Yovo: 1) KUTAWELELA LONGA UTADILA MATE KO.,Portuguese
2) KUYIVISI VENA UDILANGA KO.,Portuguese
«não deves ferir quem te quer bem».,Portuguese
KUTUKIDI NKINZI NZALA.,Portuguese
Feast today fast tomorrow.,Portuguese
KUTUKIDI NKINZI NZALA.,Portuguese
Feast today fast tomorrow.,Portuguese
"KUTU KUMOSI KUWIDI, MATU YE MATU MAKAMBANA.",Portuguese
absents.,Portuguese
KUTUMISI MAMBU MADINGALELE KU FUTA MESA KU VATA KO.,Portuguese
14],Portuguese
"Não seja um mancha-fiestas, suscitando problemas ou dificuldades onde há ape-",Portuguese
nas paz e entendimento.,Portuguese
"KU TUTUKIDI KU LÃ, KU TUKWENDA KU KUFI.",Portuguese
"KU VATA DYAMPA TUKWENDA VAMOSI TUTUNGILA, KWAKU TUTUKA",Portuguese
TUTUNGILA VA MOSI (KWAKU TUTUKA TUWISANANGA).,Portuguese
142,Portuguese
"KUVINGIDI MBASI KO MU VANG'OMA LENDA VANGA UNU,",Portuguese
(Bíblia - Prov.27:1).,Portuguese
um hoje vale duas amanhãs» (Franklin).,Portuguese
«Amanhã!» é o refrão do preguiçoso» (P. Claudel).,Portuguese
(Bible — prov.27:1).,Portuguese
KU VOVINGI KO VO «KINA MALEMBE KO». VOVANGA VO «KATUNA,Portuguese
MALEMBE KO».,Portuguese
Não digas: «Eu sou uma pessoa importante». Diz: «Somos pessoas importantes»,Portuguese
«Os homens não se medem aos palmos».,Portuguese
personnes importantes».,Portuguese
own lips» (Prov. 27:2).,Portuguese
KUVWEZI NKWAKU MU KUMA KYA KEVA KO.,Portuguese
Não desprezes o teu próximo por ser pequeno. O ser pequeno não é ser uma,Portuguese
«Os homens não se medem aos palmos».,Portuguese
143,Portuguese
KUZIUDI MAWULU MA NKULU KO.,Portuguese
Não reabras antigos fossos.,Portuguese
mortos enterrados há muito tempo e cuja memória provoqueria desagradávéis,Portuguese
pesadelos ao violador das tumbas.,Portuguese
Don't open any more old ditches.,Portuguese
«Don't reopen old wounds».,Portuguese
"KWA MVWAMA KU SOMPESA KO, KWA MPUTU KU KANIKINA KO.",Portuguese
"Ao rico não emprestes, ao pobre não prometas.",Portuguese
"Para O rico só os seus interesses contam, os dos demais lhe interessem pouco.",Portuguese
"Quanto ao pobre, «o prometido é devido».",Portuguese
"KWANGA KU NTU, MFUMEU; SIMBA MU MBOMBO, MENGA,.",Portuguese
vouer».,Portuguese
144,Portuguese
"KWA SINA, E DYAMBU TUKU (KONSO DYAMBU DINA YE SINA KYANDI).",Portuguese
"Um inhame tem uma semente, um problema tem uma causa.",Portuguese
vez do nada» (Gén.1:1).,Portuguese
(Gén.l:1).,Portuguese
KWA VITA MFUMA MBEMBE VWANGAMA (ZANGAMA) KAKA.,Portuguese
"Onde alguém tem um parente ou um amigo, ele está bem-vindo.",Portuguese
"KWA YENDA NIU, KWAVW'E NDOZI.",Portuguese
"KWENDA KU ZANDU, VWA KYA TEKA YOVO KYA SUMBA YOVO:",Portuguese
"KWENDA KU ZANDU, VWA KYMA KYA TEKA YOVO KYA SUMBA.",Portuguese
Quem vai ao mercado tem algo para vender ou para comprar.,Portuguese
145,Portuguese
"KWENDA LULENGE, VUTUKA LULENGE.",Portuguese
"Vai são e salvo, e regressa também são e salvo.",Portuguese
(Sal.121:7-8).,Portuguese
KWENDA YE TALA KU NIMA KA WONGA KO NGANGU ZA KWENDELA.,Portuguese
prosseguimento da caminhada.,Portuguese
"«Caminha como um camaleão, olhando para frente, mas com um olho para trás»",Portuguese
(Prov.Japonese - Rosa Sha).,Portuguese
(Prov.Japonais — Rosa Sha).,Portuguese
"(Japonese prov,).",Portuguese
KYADI KAKIMANISANGA DIAMBU KO.,Portuguese
"Tristeza não supera nenhuma situação, nem paga dívidas.",Portuguese
146,Portuguese
"other honmeless people, feel more sorrow over their situation every evening.",Portuguese
"KYA FIOTI MU DISU KAKYENDI KO, MU NWA KWENDA KWANI.",Portuguese
"provocar danos, pode, no entanto, satisfazer uma outra necessidade não menos",Portuguese
importante.,Portuguese
«Every little helps».,Portuguese
KYA FYOTI KIKITUKANGA KYA KINGI.,Portuguese
«Muitos poucos fazem muito».,Portuguese
"«Quem não conhece o pouco, também não poderá conhecer o muito» (Prov.",Portuguese
Turco - R. Sha).,Portuguese
«Every little helps».,Portuguese
«Little strokes fell great oaks».,Portuguese
147,Portuguese
KYAFIOTI KINA VA KOKO KILUTIDI KYA NENE KIN'OVA LÁ.,Portuguese
"«O pouco com Deus é tudo, o muito sem Deus é nada».",Portuguese
KYA FYOTI KYAFYOTI KIYURUTILANG' ENSUSU.,Portuguese
«Muitos poucos fazem muito».,Portuguese
KYA NGOVO KAKIKONDELANGA NGOLO KO.,Portuguese
opportunity.,Portuguese
"KYAKU KYARKU, KYANGANI KYANGANI.",Portuguese
"KYAKU KYAKU, MBWA IBOSI KANWA MAZA.",Portuguese
148,Portuguese
"KYAKU MBUTA, KYANGANI NLEKE.",Portuguese
"KYA NKWENO MBALU, KANA KIKONDA KOMA, KANA KILUTA",Portuguese
KATULA.,Portuguese
«Boas contas fazem bons amigos».,Portuguese
«Good accounts make good friends».,Portuguese
KYASIMANGA (KYATIMUNANGA) NWA KO WAKONDA MPUKU.,Portuguese
"Nunca cavo um buraco sem encontrar um rato nele,",Portuguese
Não digo nada sem efeito.,Portuguese
KYA VW' AOLE KYALEKISA NKWENO NZALA.,Portuguese
vontade.,Portuguese
"AKUSILA NTU MUNTU MU LAMBA, KWENDA UKWENDA KO.",Portuguese
"homem na sacola, tu procurarás ir ter com ele.",Portuguese
149,Portuguese
«nem sempre os ausentes têm razão».,Portuguese
jours tort».,Portuguese
KYELEKA KYELEKA KYAYENDA KU MBANZA E LUVUNU NKATA,Portuguese
IWAFUNDANGA.,Portuguese
"cidade, onde tem o seu lugar; mas ao mentiroso deve ser tolhido o passo para não",Portuguese
citado por M. Maurois - Larousse).,Portuguese
empêché.,Portuguese
M. Maurois — Larousse).,Portuguese
squatted.,Portuguese
Larousse).,Portuguese
150,Portuguese
"KYETO KYETO, KYAME KYAME.",Portuguese
KYETO KILUTIDI EKYANGANI.,Portuguese
KYONSO KIFWIDI MU NTAMBU BAKAMA KIFWETE BAKAMA.,Portuguese
KYOKI LUMBU KIWUTIDI NA NKAI E FUTA AYOKELE.,Portuguese
ameaçadora da via dos recém — nascidos e os seus pais).,Portuguese
KYOKYO UDYANGA KIDYE-KIDYE IKIKU DYA.,Portuguese
samente pela sua vez.,Portuguese
ra e silenciosamente».,Portuguese
151,Portuguese
"tum,",Portuguese
silently.,Portuguese
KYULA DIKAKONDELA NKILA MU DIAMBU DIE SUKININA.,Portuguese
KYULA NKWA NSOKI UKUMVONDANGA.,Portuguese
Os seres fracos e humildes são vítimas dos maus.,Portuguese
KYULA UKOTA MU NKALU TEKAMA.,Portuguese
KYUNDULU KA KINA NZAMBA KO.,Portuguese
mente.,Portuguese
ment.,Portuguese
152,Portuguese
LAKWA NTETE VUNINA NKATA.,Portuguese
"Ora. «quem se queixa, alhos come».",Portuguese
accuses himself».,Portuguese
"LAMBILA MAZI, MAZA FUKI Yovo: LAMBILA MAZI, MWAMBA FUKI.",Portuguese
demora muito tempo para cozer.,Portuguese
parte do pedinte após acordo dado pela parte solicitada.,Portuguese
too more.,Portuguese
LAWU KYA NZENZA MU NKUNGA KAKOTILANGA MU VATA.,Portuguese
"dor, abrandar ou amolecer os corações e entreter os homens pelo bálsamo da sua-",Portuguese
"vidade, tornando-os benevolentes uns para com os outros, mesmo para com os",Portuguese
desconhecidos.,Portuguese
"«Quem canta, encanta os seus males» (Cervantes - Dom Quichote).",Portuguese
Beaumarchais).,Portuguese
153,Portuguese
ones.,Portuguese
LEMVOKELA NA KONGO KA WAYI KO Yovo: LEMVOKELA KIMFUMU,Portuguese
"KA WAYIKO,",Portuguese
«Obedece se quiseres ser obedecido um dia» (Voltaire).,Portuguese
"LEMVO WA NKENTO DIKILA, VO KUNDÍKIDI KO USISIDI.",Portuguese
"contrário, ela o abandona.",Portuguese
consubstanciadas em «dar e receber».,Portuguese
"wise, she leaves him.",Portuguese
LEMV'OWINGI TWIKILWA (TWIKWA) MATADI Yovo: LEMV'OWINGI,Portuguese
NATISWA MATADI.,Portuguese
"«Quem se faz mel, abelhas o lambem».",Portuguese
154,Portuguese
"LENDA KAYILA MUNTU KONDA KWA KUNZOLA, KANSI KULENDI ZOLA",Portuguese
MUNTU KO KONDA KWA KUNVANA NTIM'AKU KO.,Portuguese
lhe ofertar algo.,Portuguese
someone without offering him something.,Portuguese
LENDA TANGININA YOVO SOKULULA MUNTU KANSI KULENDI,Portuguese
KUMEWANA KO NADEDE.,Portuguese
Podes imitar alguém mas não podes igualá-lo totalmente.,Portuguese
O imitador fica aquém ou vai além deste marco ou ideal.,Portuguese
"Daí, diz-se: «imitado mas nunca igualado».",Portuguese
"LENDA YALA MVUMBU AKU, KANSI KULENDI YALA MBUNDU ANDIKO.",Portuguese
"Pode ser o mestre do seu escravo, mas não pode ser o mestre do seu coração.",Portuguese
Espanhola).,Portuguese
p. 154).,Portuguese
155,Portuguese
cauld).,Portuguese
edition).,Portuguese
"LEMVO KAUSAKI, NGOLU KAZISAKI.",Portuguese
"Não sejas nem muito dócil, nem muito duro, esteja tu no meio.",Portuguese
"Metamorioses, v. 137).",Portuguese
"«Não seja muito doce, seria engolido; não seja muito amargo, seria cuspido»",Portuguese
(Prov. Aramaico — palavras d'Hahigar).,Portuguese
"Métamorphoses, v. 137). .",Portuguese
"(Prov. Araméen - Paroles d'Ahigar, av.JC).",Portuguese
"(Ovide - Metamorphoses, v. 137).",Portuguese
«Põe-te na cama e torna-te doente e saberás quem te quer bem e quem te quer mal».,Portuguese
LOMBA KWA MBUTA MU MESO.,Portuguese
Um velho manifesta suas necessidades pelo seu olhar.,Portuguese
"«Um olhar é, em qualquer país, uma linguagem» (G. Herbert).",Portuguese
156,Portuguese
"«Quem não pode compreender um olhar, não pode compreeender longas expla-",Portuguese
nações» (Prov. Árabe).,Portuguese
encore son humiliation.,Portuguese
tions» (Prov. Arabe).,Portuguese
proverb).,Portuguese
LONGA MUNTU UDILANGA DYO UVONDANGA DYO YOVO UWULANGA,Portuguese
DYO.,Portuguese
Quem usa o prato é quem o parte.,Portuguese
LONGA MWANA MU KILEKA SE KAZAY'E NZIL ASIKILA KALANDA MU,Portuguese
KIMBUTA.,Portuguese
vida.,Portuguese
se desviará dele» (Provérbios 22:6).,Portuguese
détoumera pas» (Proverbes 22:6).,Portuguese
157,Portuguese
"LONGA MWANA UKWENDA KU MAKINU, KULONGI MWANA TUKIDI",Portuguese
"KUMAKINU KO YOVO: 2) - LONGA MWANA UKWENDA KU ZANDU, KU",Portuguese
LONGI MWANA UTUKA KU ZANDU KO.,Portuguese
(Prov. Dinamarquês — R. Sha).,Portuguese
ses gardes.,Portuguese
danois — R. Sha). .,Portuguese
-R. Sha).,Portuguese
"LONGA NKWA NDWENGA SE KATONDA, LONGA NKWA LULENDO SE",Portuguese
KAMENGA.,Portuguese
"Aconselha um homem sábio, ele amar-te-á, aconselha um homem orgulhoso,",Portuguese
ele odiar-te-á.,Portuguese
"nas o rejeita, mas também odeia o seu autor.",Portuguese
détestera.,Portuguese
"LONGA NZAMBI OWANGA, LONGA MUNTU KA WANGA KO.",Portuguese
vés da experiência alheia.,Portuguese
158,Portuguese
périence d'autres personnes.,Portuguese
"LONGA ZOWA, TUMBULWELA.",Portuguese
LONGI KAKALA MVUTU KO Yovo: LONGI KADIVANINWANGA,Portuguese
MVUTUKO.,Portuguese
"Um conselho aceita-se, não se discute.",Portuguese
«Ama os conselhos e não os louvores» (Nicolas Boileau).,Portuguese
"LONGI LOMBWA DILOMBWANGA, KA DIKOMENENWANGA KO.",Portuguese
Um conselho é solicitado mas não imposto.,Portuguese
M.Maurois — Larousse).,Portuguese
M.Maurois - Larousse).,Portuguese
M.Maurois — Larousse).,Portuguese
159,Portuguese
— Larousse).,Portuguese
«Os filhos são por natureza defesa e fortaleza dos pais» (Tasso).,Portuguese
their parents” love.,Portuguese
"LONGO LUFWANGA, MVILA KAZIFWANGA KO.",Portuguese
«O respeito depende da reciprocidade» (G. T. Zona).,Portuguese
160,Portuguese
LONGO LWA WUTA KA LUFWANGA KO.,Portuguese
estabelecidas.,Portuguese
between both families.,Portuguese
"LONGO LW'ALEKE, MVILA ZA MBUTA,",Portuguese
"Os laços matrimoniais excedem os compromissos dos nubentes, pois geram rela-",Portuguese
adultes.,Portuguese
LUFWA KA LUVUMINANGA MEUMU KO.,Portuguese
ela.,Portuguese
sária» (Guizoy).,Portuguese
saire» (Guizoy).,Portuguese
Ribeiro Chiado).,Portuguese
161,Portuguese
sary» Guizot).,Portuguese
LUFWA KINZU KYA MATE YE MATE.,Portuguese
"LUFWA LWAFWA NANKEWA: NTU MU NTAMBU, NKILA MU NTAMBU.",Portuguese
"LUFWA LWA NANKANDI: VA NTANDU TADI, MU NSI TADI.",Portuguese
em baixo.,Portuguese
dessous.,Portuguese
dariedade activa.,Portuguese
162,Portuguese
rité agissante.,Portuguese
solidarity.,Portuguese
Fables).,Portuguese
indivíduo.,Portuguese
seule personne.,Portuguese
LUFWA YE DYA KAVAMBANANGA KO.,Portuguese
163,Portuguese
NKOMBO.,Portuguese
"«Tal mãe, tal filha».",Portuguese
"«Telle mêre, telle fille».",Portuguese
"«Like mother, like daughter».",Portuguese
"LUKILA NGANGA, MAYELA KAMAVWIDI KO.",Portuguese
LUKU LWA TIYA YE MAKAYA MA TIYA KE LUTOMANGA NDILU KO.,Portuguese
"tempo. Muito calor prejudica toda acção, pois queima.",Portuguese
"LUKU TUDILA VÁ MOSI, KANSI NGUBA KONSO MUNTU YE LAMBA",Portuguese
KYANDI.,Portuguese
seu bolso.,Portuguese
164,Portuguese
LUKUNA LWA DYOKO VANA LUBWIDIDI LUFWETE MENA.,Portuguese
"«Uma boa semente, mesmo se cair no mar, tornar-se-á uma ilha» (Povérbio",Portuguese
Malaio — R.Sha).,Portuguese
"verbe Malais - R. Sha). ,",Portuguese
sian proverb - R. Sha).,Portuguese
LULUNGU LWA FYOTI LULENDA VONDA DISU DYA MBUTA MUNTU.,Portuguese
piquante» (prov. árabe).,Portuguese
Dai não desprezes os pequenos inimigos pois «os homens não se medem aos pal-,Portuguese
mos».,Portuguese
pique» (proverbe arabe).,Portuguese
«Petit chêne abat grand vent.,Portuguese
«Little strokes fell great oaks».,Portuguese
LULUNGU LWA NSAMBA (LWA KONGO) LOKOLELA MUKATI KA,Portuguese
KUMBASI KO. Yovo: LULUNGU LUNDWELO NGANZI MU KATI.,Portuguese
165,Portuguese
"LUMBONGI ZALA, LUNSIL ANA; LUMBONGI ANA, LUNSIV'E ZALA.",Portuguese
o ninho.,Portuguese
«Nunca uma desgraça vem sozinha».,Portuguese
«Misfortunes never come singly».,Portuguese
LUMBU IFWA VA NTANDA IZYAMINA! MEWA ITOMA.,Portuguese
"Quando eu morrer, terei grandes exéquias públicas. Sim, mas tudo dependerá",Portuguese
das circunstâncias e condições do momento e da tua morte.,Portuguese
morte no tempo e no espaço.,Portuguese
"«Homem propõe, Deus dispõe».",Portuguese
166,Portuguese
"«Lhomme propose, Dieu dispose».",Portuguese
"«Man proposes, God disposes».",Portuguese
"LUMBU KYA WUTUKA KIZAYAKANANGA, LUMBU KYA FWA KA",Portuguese
KIZAYAKANANGA KO. .,Portuguese
"Sabe-se o dia do nascimento, mas não se sabe o dia da morte.",Portuguese
"O passado é conhecido, mas o futuro é uma incógnita.",Portuguese
LUMBU KIMOSI KIFWA NZAU KA KIWODI NZAU KO.,Portuguese
"Um elefante pode morrer num dia, mas não pode apodrecer-se no mesmo dia.",Portuguese
"Num dia pode acontecer um grande evento, mas os seus efeitos não podem aca-",Portuguese
Iv - citado por M. Maurois — Larousse).,Portuguese
day.,Portuguese
LUMBU UDYA NDUNGU KI UVAVA MAZA.,Portuguese
"Não recuses prestar serviços aos outros, pois um dia precisarás deles.",Portuguese
"«Quem pense só em si quando tudo lhe corre normalmente, na infelicidade não",Portuguese
tem amigos» (H.V.Roy).,Portuguese
d'amis» (H. V. Roy).,Portuguese
167,Portuguese
"LUM'VUKUNWINA! IWAU KENAVO KO, AVO UNA VOVO YANDI MOSI",Portuguese
UKIVUKUNWENA.,Portuguese
sa pensée contre son gré.» :,Portuguese
LUNDISWA KAVWA KO.,Portuguese
e bem-estar.,Portuguese
LUNGWENI NTI KALENGOLANGA UK AMATANGA.,Portuguese
168,Portuguese
"LUNWANINA MBISI KA LUNWANINI NKANDA KO, NKANDA KIMA",Portuguese
KIBÂKUKA.,Portuguese
"LUSE LUTOMENE, KOSI DILEVOKELE (MPOLO YAZITA,",Portuguese
KOSI DYALEVOKA).,Portuguese
mau por dentro.,Portuguese
"LUTUVONDI NKITA, TWAKITUK'ANGANGA (LUTUFW'ENKITA,",Portuguese
TWAKITUK'ANGANGA).,Portuguese
Iniciem-nos no mistério para nos tornarmos também iniciados.,Portuguese
matiêre.,Portuguese
"LUVANG'OMA IVOVANGA, KALUVANGI KO OMA IVANGANGA.",Portuguese
169,Portuguese
contrário dos seus sermãos e discursos.,Portuguese
"LUVILA VO LUFWANANA, WANA KANDA DI MOSI LUNA, KALULENDI",Portuguese
"KWELANA YOVO SOPANA KO, ,",Portuguese
entre si.,Portuguese
rule.,Portuguese
