description,language
"Cortemos a víbora, pois a jibóia está comprida.",Portuguese
Este provérbio é utilizado quando se quer abreviar uma história longa.,Portuguese
"Coupons la vipêre, car le boa est trop long.",Portuguese
Ce proverbe est utilisé lorsque I'on veut abréger une longue histoire.,Portuguese
"Let's cut the adder, because the boa is too long.",Portuguese
This saying is used when we want to make short a long history.,Portuguese
"TUZIMINA ITUKWENDA KUVATA, ITUKWENDA KUMFINDA AMVUMBI",Portuguese
AZIMINA TO.,Portuguese
Apaguemos o fogo que vai para a aldeia. O que vai para a floresta os mortos,Portuguese
encarregar-se-ão de apagá-lo.,Portuguese
"O provérbio aconselha de tratar primeiro do que é mais urgente, do perigo premente",Portuguese
e mais próximo ou acudir ao mais necessitado e o perigo mais afastado será elimina-,Portuguese
"do com a ajuda das outras forças, pois «não se pode cavar na vinha e no bocelo».",Portuguese
"Eteignons le feu qui va au village, celui qui va vers la forêt, les morts se char-",Portuguese
geront de I'éteindre.,Portuguese
"«Parons au plus pressé, éliminant le danger le plus immédiat; quant au danger",Portuguese
"médiat, il sera conjuré avec I'aide des autres forces, car «on ne peut pas sonner",Portuguese
les cloches et aller à la procession».,Portuguese
"Let's extinguish the fire which goes to the village, as that which goes to the",Portuguese
forest the dead will take care of it.,Portuguese
"This saying advises us to attend first the most pressing problems, the following",Portuguese
will be dealt after.,Portuguese
315,Portuguese
"TU ZINSUSU, YETO MOSI TUKIVATILANGA.",Portuguese
Somos galinhas: sustentamo-nos pelas nossas próprias patas.,Portuguese
Este adágio aplica-se a pessoas que contam apenas com os seus próprios recursos,Portuguese
pour surviver.,Portuguese
"Nous sommes des poules, nous grattons avec nos pattes pour nous nourrir.",Portuguese
Cet adage s'applique à des personnes qui ne comptent que sur leurs petites res-,Portuguese
sources pour survive.,Portuguese
"We are hens, we sctratch the ground ourselves in order to survive.",Portuguese
This saying is applied to persons which rely only on their small resources to live by.,Portuguese
TWELE KUFULU TWAYUVULA NDONA NKENTO KAVOVELANGA,Portuguese
VANDONGA KO.,Portuguese
Retiramo-nos em aparte para ouvirmos a dona da família que não pode se pro-,Portuguese
nunciar em público.,Portuguese
Trata-se de uma reunião de concertação «à porta fechada» de um grupo de mem-,Portuguese
bros da comunidade que deve ter uma opinião comum sobre um problema em,Portuguese
discussão.,Portuguese
Nous nous retirons en aparté pour consulter la grand-mêre qui ne peut se pro-,Portuguese
noncer en public.,Portuguese
C'est la maniêre de demander une réunion à huis clos avec un groupe de mem-,Portuguese
bres d'une communauté pour se former une opinion commune sur un problême,Portuguese
en discussion.,Portuguese
We ask for an aparte in order to have an opinion of the grand-mother who can-,Portuguese
not make a public statement.,Portuguese
It is the way of having a conversation behind closed doors in order to get a com-,Portuguese
mon opinion on the matter in debate.,Portuguese
"TWENDA KATULWAKA KO, TULEKA, KAKUKYA KO.",Portuguese
"Se partirmos, não chegaremos ao destino; se dormirmos, não amanhecerá,",Portuguese
"Este provérbio é utilizado quando existe um dilema, uma situação sem solução",Portuguese
que sugeria uma desistência do assunto.,Portuguese
"Si nous partons, nous n'arriverons pas à destination. Si nous dormons, il fera",Portuguese
pas jour.,Portuguese
"C'est un proverbe utilisé quand il se présente un dilemme, ou une situation sans",Portuguese
issue qui oblige à la renonciation de Y'affaire.,Portuguese
"If we go we will not arrive at the end; if we sleep, it will not dawn on us.",Portuguese
"Said when occurs a dilemma, or a situation without an issue. It obliges people to",Portuguese
give up to deal with the matter.,Portuguese
"TYOKWELA NKWA NGANGU, KANSI MUNTAMBU A KYUSU",Portuguese
KAFWILANGA.,Portuguese
"A áve Tiokwela é muito esperta, mas se deixa apanhar pela armadilha cuja iça",Portuguese
é o salalé de que gosta muito.,Portuguese
«O estucioso encontra mais estucioso do que ele».,Portuguese
316,Portuguese
"Loiscau Tiokwela est três rusé, mais il se laisse prendre par le piêge dont I'ap-",Portuguese
pãt n'est tout autre que les fourmis blanches ailées dont il est friand.,Portuguese
"«A malin, malin et demi»",Portuguese
"The bird Tiokwela is very astute, but is easyly caught by the track armed with",Portuguese
a bait made of the winged-white ants of which it is very fond.,Portuguese
«An artful meets always a more artful than himself».,Portuguese
317,Portuguese
